,,,,,,,,,,,,,,,,,,,,,QT 2000 MPN,,QT-51 WELL MPN,
,,,,,,Human,,Birds,,Dog,Muskrat,Ruminants,Acrobacter,Salmonella,Campylobacter,Enteroccocus ,STX1,STX2,Culture Arco,,TC Colilert ,EC Colilert,Enterolert,10 mL FC
,,,,,,HF183,HumM2,CGO1,LeeSg,Dog3,MuBac,Rum2bac,Abutz hsp60,InvA,VD16S,Calibrator ,Shigatoxin 1,Shigatoxin 2,,,total coliforms,E. Coli,,thermotolerant colifroms
Date Sampled,Week ,Pond,Location,Sample ID,Rainfall,Copies per 100 ml,,,,,,,,,,Cell Eqivalents (CCEs),,,,,,,,fecal coliforms
,Week 1 Calgary,Not avail.,Not avail.,Blank week 1,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,none detected,,,,,,,,
May 9 2017,,Country Hills,Outfall WP31E,29759,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,131,No,No,,,435,4,NIL,less than 10
,,Inverness,Outfalls Inlet,29760,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,115,Not tested,Not tested,,,61,NIL,NIL,less than 10
,,Country Hills,Pond outfall WP31C,29761,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,227,No,No,,,345,23,10,10
,,Inverness,Pond outfall WP26B,29762,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,178,Not tested,Not tested,,,29,NIL,2,less than 10
,,Country Hills,Pond inlet WP31B,29763,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,DNQ,not detected,not detected,122,Not tested,Not tested,,,276,NIL,2,less than 10
,,McCall Lake,Pond inlet PR60,29764,,not detected,not detected,not detected,DNQ,DNQ,not detected,1800,DNQ,not detected,not detected,467,Not tested,Not tested,,,133,NIL,NIL,less than 10
,,Country Hills,Pond outfall WP31A,29765,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,186,No,No,,,238,14,9,30
,,McCall Lake,Pond outfall ML1,29766,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,329,Not tested,Not tested,,,31,NIL,NIL,less than 10
,,McCall Lake,Pond inlet 3/4,29767,,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,235,No,No,,,179,22,NIL,less than 10
,,McCall Lake,Pond outfall ML2,29768,,15930,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,785,No,No,,,more than 2419.6,101,29,180
,,Inverness,Pond outfall WP26C,29769,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,128,Not tested,Not tested,,,51,NIL,NIL,less than 10
,,Country Hills,Pond outfall WP31D,29770,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,69,No,No,,,649,33,6,10
,,Inverness,Pond outfall WP26D,29771,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,122,Not tested,Not tested,,,28,NIL,NIL,less than 10
May 11 2017,,Inverness,Outfalls Inlet,30469,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,94,No,No,,,64,1,NIL,less than 10
,,Country Hills,Pond outfall WP31B,30470,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,27,Not tested,Not tested,,,179,NIL,NIL,less than 10
,,Country Hills,Pond outfall WP31A,30471,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,26,Not tested,Not tested,,,45,NIL,NIL,less than 10
,,McCall Lake,Pond inlet PR60,30472,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,150,No,No,,,613,2,NIL,less than 10
,,Inverness,Pond outfall WP26B,30473,,not detected,not detected,not detected,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,135,Not tested,Not tested,,,29,NIL,2,less than 10
,,Inverness,Pond outfall WP26C,30474,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,76,Not tested,Not tested,,,32,NIL,NIL,less than 10
,,Country Hills,Pond outfall WP31D,30475,,not detected,2190,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,275,No,No,,,1553,21,1,less than 10
,,McCall Lake,Pond outfall ML1,30476,,not detected,not detected,not detected,not detected,not detected,not detected,170052,not detected,not detected,not detected,104,No,No,,,248,108,2,80
,,Country Hills,Pond outfall WP31E,30477,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,81,No,No,,,124,3,NIL,less than 10
,,Inverness,Pond outfall WP26D,30478,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,114,No,No,,,35,16,8,less than 10
,,Country Hills,Pond outfall WP31C,30479,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,190,No,No,,,248,4,2,less than 10
,,McCall Lake,Pond inlet 3/4,30480,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,177,No,No,,,56,16,1,10
,,McCall Lake,Pond outfall ML2,30481,,163824,18990,not detected,not detected,not detected,not detected,not detected,DNQ,not detected,not detected,2304,No,No,,,more than 2419.6,461,165,more than 600
May 16 2017,Week 2 Calgary,Inverness,Pond outfall WP26C,31308,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,165,0,0,,,68,NIL,NIL,less than 10
,,Inverness,Pond outfall WP26D,31309,,not detected,not detected,not detected,not detected,not detected,not detected,DNQ,not detected,not detected,not detected,71,No,No,,,27,NIL,NIL,less than 10
